YT_Video_ID,file_name,start_time,end_time,label,transcript
UCPIBQDI0QM,AN_WILTY_EP15_truth1,126,131,truth,most of the time i'd get the answer before the clock started.
UCPIBQDI0QM,AN_WILTY_EP15_truth2,145,152,truth,"i used to do, i used to get my pen that i would write on the board with and i used to go round all the props."
UCPIBQDI0QM,AN_WILTY_EP15_truth3,350,355,truth,i used to run a market stall that only sold hats for d***.
UCPIBQDI0QM,AN_WILTY_EP15_lie4,423,426,deception,"no, you don't crush it. no, well, i mean, this was the 60s, you didn't want..."
UCPIBQDI0QM,AN_WILTY_EP15_lie5,452,456,deception,"yeah, the main item then in the 60s, for some strange reason, in..."
UCPIBQDI0QM,AN_WILTY_EP15_truth6,538,544,truth,i didn't want to cut my hair out of greasy hair so i thought hang on i can't ask mum for like a hairnet so i'll just whack some...
UCPIBQDI0QM,AN_WILTY_EP15_truth7,588,591,truth,"the doctor said, in no way will that get..."
UCPIBQDI0QM,AN_WILTY_EP15_truth8,1024,1028,truth,when i was about seven. seven?
UCPIBQDI0QM,AN_WILTY_EP15_lie10,1097,1100,deception,i have two favourite castles in there because castles i discovered as a child.
UCPIBQDI0QM,AN_WILTY_EP15_lie11,1110,1113,deception,a swanzey and that's called oyster mouth.
UCPIBQDI0QM,AN_WILTY_EP15_lie12,1121,1125,deception,i think it's sort of late norman kind of castle with a keep.
UCPIBQDI0QM,AN_WILTY_EP15_lie13,1129,1133,deception,it's quite a sort of traditional old fashioned castle with a moat and...
UCPIBQDI0QM,AN_WILTY_EP15_lie14,1141,1147,deception,it has always been irritating to me that very few castles...
UCPIBQDI0QM,AN_WILTY_EP15_lie15,1162,1166,deception,my character is supposed to have spent years working in the bar.
UCPIBQDI0QM,AN_WILTY_EP15_lie16,1169,1174,deception,"it's not just a case of, you know, pull a pint. you've got to pull a pint and be talking to a customer."
UCPIBQDI0QM,AN_WILTY_EP15_lie17,1188,1193,deception,evidently eight years. i've only been there for a year and a half and it's just an induction thing.
UCPIBQDI0QM,AN_WILTY_EP15_lie18,1418,1422,deception,a culinary snobbishness that is...
UCPIBQDI0QM,AN_WILTY_EP15_lie19,1424,1427,deception,a fear of interacting with customers.
UCPIBQDI0QM,AN_WILTY_EP15_truth20,1526,1531,truth,i once picked up a hitchhiker and scared him so much he cried.
UCPIBQDI0QM,AN_WILTY_EP15_truth22,1544,1547,truth,"the thing that happened was we were driving along, he got in the car and he said..."
UCPIBQDI0QM,AN_WILTY_EP15_truth23,1574,1583,truth,
UCPIBQDI0QM,AN_WILTY_EP15_truth24,1588,1597,truth,i was walking past the front of the car with the engine. i looked at him like that and i just saw him go like that. he just wiped a small tear from his eye because i think he genuinely thought...
hhSNKJ_lcNU,AN_WILTY_EP16_lie1,124,127,deception,the d in my name stands for delicious.
hhSNKJ_lcNU,AN_WILTY_EP16_lie2,141,147,deception,there are a lot of black men my age around that time being given names like reginald and winston.
hhSNKJ_lcNU,AN_WILTY_EP16_lie3,162,166,deception,"that will enable him to be, you know, recognizable yet dignified to potentially..."
hhSNKJ_lcNU,AN_WILTY_EP16_lie5,181,185,deception,like the name delicious commands great respect in the gallery.
hhSNKJ_lcNU,AN_WILTY_EP16_lie6,191,195,deception,"you uh, you probably don't listen to much rap music, do you?"
hhSNKJ_lcNU,AN_WILTY_EP16_lie7,213,216,deception,original is a german name. it means mighty or wise.
